nan,nan.1,nan.2,nan.3,timestamp,connected_devices,signal_strength_dbm,download_mbps,upload_mbps,latency_ms,packet_loss,congestion_index
CVRaman-GF-RM-61-AP10,CISCO,AP01,10.88.21.128,2026-05-01 02:15:00,64,-45.73,22.82,17.1,49.81,0.601,2.8
EVS-SF-RM-217-AP01,CISCO,AP02,10.88.20.37,2026-05-01 02:20:00,25,-56.74,32.18,20.25,67.86,0.404,0.78
Energy-GF-RM-05-AP01,CISCO,AP07,10.88.20.40,2026-05-01 02:25:00,37,-53.3,51.98,21.77,17.47,0.738,0.71
DeanBuilding-GF-RM-109-Ap02,CISCO,AP03,10.88.20.226,2026-05-01 02:30:00,80,-64.82,13.95,9.88,10.12,0.837,5.73
Academic-II-FF-AP06,CISCO,AP04,10.88.20.16,2026-05-01 02:35:00,62,-75.14,20.15,13.86,27.28,0.566,3.08
CVRaman-FF-Rm-1054-AP16,CISCO,AP05,10.88.21.148,2026-05-01 02:40:00,26,-68.64,27.77,21.71,15.13,0.484,0.94
Energy-GF-RM-13-AP02,CISCO,AP06,10.88.20.39,2026-05-01 02:45:00,112,-44.53,22.96,11.59,49.63,0.051,4.88
Chemical-GF-RM-132-AP02,CISCO,AP01,10.88.20.45,2026-05-01 02:50:00,93,-89.14,84.75,39.14,51.75,0.474,1.1
CVRaman-FF-RM-1045-AP14--,CISCO,AP02,10.88.21.146,2026-05-01 02:55:00,53,-83.04,18.53,12.81,42.16,0.688,2.86
Humanities-SF-RM-326-AP04,CISCO,AP03,10.88.21.252,2026-05-01 03:00:00,95,-87.24,26.81,11.54,10.83,0.002,3.54
MassComm-GF-AP03,CISCO,AP04,10.88.20.133,2026-05-01 03:05:00,63,-87.56,58.87,37.45,32.07,0.092,1.07
MassComm-SF-RM-309-AP01,CISCO,AP01,10.88.20.128,2026-05-01 03:10:00,46,-38.67,114.21,81.78,56.79,0.521,0.4
ECE-GF-RM-101-AP01,CISCO,AP02,10.88.20.135,2026-05-01 03:15:00,96,-47.78,14.02,10.5,59.92,0.807,6.85
EVS-GF-RM-Tech-Staf-AP02,CISCO,AP03,10.88.20.34,2026-05-01 03:20:00,64,-61.55,48.06,31.47,78.54,0.903,1.33
CVRaman-GF-RM-14-AP02,CISCO,AP04,10.88.21.122,2026-05-01 03:25:00,84,-84.13,31.76,25.25,75.8,0.039,2.64
Chemical-FF-RM-230-AP02,CISCO,AP05,10.88.21.68,2026-05-01 03:30:00,19,-60.5,33.13,26.5,46.69,0.473,0.57
EVS-SF-RM-202-AP03,CISCO,AP06,10.88.21.11,2026-05-01 03:35:00,66,-61.59,23.97,16.27,27.3,0.924,2.75
MBBT-GF-RM-115-AP02,CISCO,,10.88.20.124,2026-05-01 03:40:00,66,-79.61,39.32,28.24,60.88,0.055,1.68
MassComm-FF-RM-216-AP02,CISCO,AP02,10.88.20.130,2026-05-01 03:45:00,51,-63.97,27.29,19.96,7.78,0.596,1.87
MBBT-FF-RM-215-AP01,CISCO,,10.88.20.125,2026-05-01 03:50:00,66,-66.09,16.53,9.79,71.37,0.53,3.99
Academic-II-FF-RM-109-AP05,CISCO,AP04,10.88.20.15,2026-05-01 03:55:00,55,-53.05,26.96,11.49,28.65,0.539,2.04
Academic-II-GF-RM-42-AP04,CISCO,,10.88.20.14,2026-05-01 04:00:00,112,-51.89,105.35,73.23,44.01,0.427,1.06
Chemical-GF-RM-121-AP03,CISCO,,10.88.20.43,2026-05-01 04:05:00,59,-87.28,55.68,22.82,70.26,0.021,1.06
Energy-FF-RM-106-AP02,CISCO,AP01,10.88.20.42,2026-05-01 04:10:00,68,-67.52,111.23,61.57,74.94,0.07,0.61
CVRaman-GF-RM-1022-AP17,CISCO,,10.88.21.138,2026-05-01 04:15:00,7,-52.45,50.66,35.81,35.14,0.48,0.14
MassComm-FF-RM-205-AP01,CISCO,AP03,10.88.20.129,2026-05-01 04:20:00,105,-59.81,23.48,11.94,34.87,0.092,4.47
Chemical-FF-RM-211-AP01,CISCO,,10.88.20.84,2026-05-01 04:25:00,55,-38.61,18.39,12.78,22.91,0.11,2.99
Chemical-FF-RM-221-AP03,CISCO,,10.88.20.172,2026-05-01 04:30:00,11,-50.48,37.41,27.73,58.67,0.589,0.29
Chemical-GF-RM-Utility-AP02,CISCO,,10.88.20.44,2026-05-01 04:35:00,25,-80.22,69.41,55.19,37.08,0.384,0.36
Chemical-GF-RM-101-AP01,CISCO,AP01,10.88.20.46,2026-05-01 04:40:00,77,-85.77,24.39,19.09,64.85,0.259,3.16
PatkaiHostel-SF-RM-329,CISCO,,10.88.22.19,2026-05-01 04:45:00,43,-51.45,9.22,6.93,75.85,0.467,4.66
ECE-FF-RM-205-AP-04,CISCO,,10.88.20.137,2026-05-01 04:50:00,22,-88.41,92.94,64.81,9.87,0.402,0.24
ECE-FF-RM-213-AP-03,CISCO,,10.88.20.49,2026-05-01 04:55:00,8,-54.85,54.32,34.94,43.45,0.231,0.15
Energy-FF-RM-113-AP01,CISCO,,10.88.20.41,2026-05-01 05:00:00,93,-33.59,31.18,12.93,76.8,0.826,2.98
CVRaman-FF-RM-1064-AP10,CISCO,,10.88.21.150,2026-05-01 05:05:00,64,-55.47,53.03,41.77,71.28,0.928,1.21
FoodEngineering-GF-RM-115-AP01,CISCO,,10.88.20.155,2026-05-01 05:10:00,18,-66.71,119.64,60.31,43.64,0.491,0.15
DeanBuilding-SF-RM-305-AP01,CISCO,,10.88.20.233,2026-05-01 05:15:00,118,-51.4,39.91,28.99,21.83,0.224,2.96
DeanBuilding-FF-RM-210-AP01,CISCO,,10.88.20.230,2026-05-01 05:20:00,13,-62.5,87.59,66.39,69.51,0.457,0.15
DeanBuilding-SF-RM-308-AP02,CISCO,,10.88.20.232,2026-05-01 05:25:00,94,-57.26,25.79,11.65,71.66,0.956,3.64
BBH-NewBlock-SF-RM-2125-AP01,CISCO,,10.88.21.26,2026-05-01 05:30:00,57,-33.51,110.35,58.66,74.87,0.735,0.52
BBH-NewBlock-FF-RM-199-AP02,CISCO,,10.88.21.35,2026-05-01 05:35:00,6,-66.83,17.42,9.57,24.48,0.723,0.34
Pobitra-SF-RM-393-AP12,CISCO,,10.88.20.116,2026-05-01 05:40:00,88,-32.33,42.36,33.24,13.21,0.894,2.08
BBH-NewBlock-FF-RM-195-AP01,CISCO,,10.88.20.113,2026-05-01 05:45:00,96,-35.68,59.7,35.71,41.04,0.592,1.61
BBH-NewBlock-SF-RM-2121-AP02,CISCO,,10.88.21.37,2026-05-01 05:50:00,115,-78.25,26.93,17.91,45.78,0.864,4.27
BBH-OldBuilding-GF-RM-21-AP03,CISCO,,10.88.21.231,2026-05-01 05:55:00,64,-85.84,25.34,18.22,54.38,0.851,2.53
BBH-OldBuilding-FF-RM-125-AP02,CISCO,,10.88.21.232,2026-05-01 06:00:00,75,-83.95,110.71,59.08,22.9,0.93,0.68
BBH-OldBuilding-GF-RM-08-AP01,CISCO,,10.88.21.230,2026-05-01 06:05:00,48,-88.91,19.14,13.42,16.9,0.881,2.51
BBH-OldBuilding-GF-RM-01-AP02,CISCO,,10.88.21.229,2026-05-01 06:10:00,12,-84.33,37.01,27.82,5.39,0.82,0.32
BBH-OldBuilding-SF-RM-258-AP03,CISCO,,10.88.21.234,2026-05-01 06:15:00,51,-49.02,22.0,10.22,66.35,0.832,2.32
BBH-NewBlock-GF-RM-86-AP02,CISCO,,10.88.21.36,2026-05-01 06:20:00,39,-85.73,28.51,13.61,11.31,0.326,1.37
EVS-FF-RM-109-AP-06,CISCO,,10.88.20.36,2026-05-01 06:25:00,82,-70.86,22.3,11.24,52.55,0.54,3.68
FoodEngineering-GF-Rm-108-AP04,CISCO,,10.88.22.50,2026-05-01 06:30:00,85,-39.31,52.29,26.84,6.38,0.432,1.63
TLC-Building,CISCO,,10.88.21.13,2026-05-01 06:35:00,40,-88.6,27.2,17.76,74.9,0.103,1.47
TLC-Building,CISCO,,10.88.21.29,2026-05-01 06:40:00,54,-41.13,28.9,20.47,76.05,0.166,1.87
Library-GF-BookColl-AP02,CISCO,,10.88.20.94,2026-05-01 06:45:00,108,-73.09,86.26,54.59,30.94,0.621,1.25
Library-FF-Staff-coridor-AP10,CISCO,,10.88.20.224,2026-05-01 06:50:00,8,-82.91,21.37,17.01,55.7,0.446,0.37
Library-FF-BookColl-AP03,CISCO,,10.88.20.223,2026-05-01 06:55:00,6,-48.2,19.71,13.86,6.84,0.022,0.3
Library-GF-BookColl-AP01,CISCO,,10.88.20.217,2026-05-01 07:00:00,10,-52.26,19.81,14.41,23.94,0.001,0.5
CVRaman-GF-RM-45-AP11,CISCO,,10.88.21.127,2026-05-01 07:05:00,58,-37.35,30.56,24.42,36.96,0.451,1.9
CVRaman-GF-RM-79-AP15,CISCO,,10.88.21.133,2026-05-01 07:10:00,110,-45.9,20.48,14.96,27.38,0.84,5.37
CVRaman-GF-RM-85-AP13,CISCO,,10.88.21.131,2026-05-01 07:15:00,8,-41.79,26.02,17.22,25.49,0.951,0.31
CVRaman-GF-RM-21-AP07,CISCO,,10.88.21.137,2026-05-01 07:20:00,58,-73.08,15.14,10.49,73.21,0.857,3.83
CVRaman-GF-RM-32-AP04,CISCO,,10.88.21.124,2026-05-01 07:25:00,97,-79.35,39.17,19.97,78.8,0.409,2.48
CVRaman-GF-RM-9-AP03,CISCO,,10.88.21.123,2026-05-01 07:30:00,67,-44.96,37.53,26.21,20.03,0.868,1.79
CVRaman-GF-RM-11-AP01,CISCO,,10.88.21.121,2026-05-01 07:35:00,22,-41.59,50.02,37.3,40.49,0.968,0.44
Civil-GF-RM-101-AP01,CISCO,,10.88.20.163,2026-05-01 07:40:00,94,-30.57,62.99,27.49,16.52,0.454,1.49
Civil-GF-RM-121-AP04,CISCO,,10.88.22.51,2026-05-01 07:45:00,48,-65.24,29.04,18.89,14.84,0.033,1.65
Civil-GF-RM-120-AP03,CISCO,,10.88.20.164,2026-05-01 07:50:00,38,-67.68,38.15,18.09,39.66,0.001,1.0
Civil-GF-RM-111-AP03,CISCO,,10.88.20.165,2026-05-01 07:55:00,78,-43.42,45.94,30.97,37.27,0.201,1.7
Civil-FF-RM-211-AP04,CISCO,,10.88.22.57,2026-05-01 08:00:00,66,-69.55,28.14,18.59,29.44,0.59,2.35
BBH-NewBlock-GF-RM-92-AP01,CISCO,,10.88.20.111,2026-05-01 08:05:00,104,-34.15,20.08,11.69,5.87,0.072,5.18
EVS-FF-RM-120-AP01,CISCO,,10.88.20.35,2026-05-01 08:10:00,18,-38.5,38.74,30.6,59.14,0.657,0.46
Academic-II-FF-RM-137-AP07,CISCO,,10.88.20.17,2026-05-01 08:15:00,99,-64.26,25.75,18.33,7.97,0.481,3.84
Academic-II-GF-RM-29-AP01,CISCO,,10.88.20.11,2026-05-01 08:20:00,52,-44.95,57.35,25.3,47.82,0.018,0.91
Academic-II-FF-RM-127-AP08,CISCO,,10.88.20.18,2026-05-01 08:25:00,19,-44.73,20.94,14.26,46.97,0.01,0.91
Academic-II-GF-AP03,CISCO,,10.88.20.13,2026-05-01 08:30:00,76,-83.81,36.43,22.35,71.19,0.083,2.09
Academic-II-FF-AP09,CISCO,,10.88.21.254,2026-05-01 08:35:00,82,-35.85,53.86,30.09,14.95,0.568,1.52
CouncilHall-AP02,CISCO,,10.88.20.208,2026-05-01 08:40:00,91,-59.68,49.13,35.8,8.09,0.67,1.85
CouncilHall-FF-RM-60-AP03,CISCO,,10.88.20.210,2026-05-01 08:45:00,66,-40.41,116.61,79.6,7.37,0.936,0.57
Admin-FF-RM-41-AP04,CISCO,,10.88.20.211,2026-05-01 08:50:00,44,-70.8,13.41,6.97,75.14,0.947,3.28
BBH-OldBuilding-FF-RM-132-AP03,CISCO,,10.88.20.115,2026-05-01 08:55:00,89,-36.27,23.44,12.56,66.11,0.08,3.8
BBH-OldBuilding-FF-RM-146-AP01,CISCO,,10.88.20.114,2026-05-01 09:00:00,84,-66.65,28.16,17.99,63.79,0.481,2.98
BBH-OldBuilding-SF-RM-233-AP01,CISCO,,10.88.21.233,2026-05-01 09:05:00,113,-89.35,13.21,9.15,11.12,0.06,8.55
CVRaman-GF-RM-26-AP08,CISCO,,10.88.21.136,2026-05-01 09:10:00,86,-35.68,67.3,39.82,51.18,0.329,1.28
PatkaiHostel-SF-RM-314,CISCO,,10.88.22.18,2026-05-01 09:15:00,115,-84.52,24.11,11.4,64.23,0.659,4.77
PatkaiHostel-GF-RM-125,CISCO,,10.88.20.184,2026-05-01 09:20:00,57,-70.84,12.47,5.09,53.99,0.332,4.57
PatkaiHostel-GF-RM-114-AP,CISCO,,10.88.21.236,2026-05-01 09:25:00,28,-33.0,8.76,5.78,19.97,0.68,3.2
PatkaiHostel-FF-RM-206,CISCO,,10.88.22.10,2026-05-01 09:30:00,30,-32.96,4.06,1.95,68.03,0.174,7.39
PatkaiHostel-FF-RM-229,CISCO,,10.88.20.176,2026-05-01 09:35:00,93,-55.59,19.41,13.53,36.91,0.346,4.79
PatkaiHostel-FF-RM-210,CISCO,,10.88.20.30,2026-05-01 09:40:00,64,-52.09,5.28,3.18,45.75,0.514,12.12
PatkaiHostel-FF-RM-258,CISCO,,10.88.22.14,2026-05-01 09:45:00,113,-63.09,13.82,9.54,41.5,0.873,8.18
PatkaiHostel-FF-RM-277-AP04,CISCO,,10.88.21.62,2026-05-01 09:50:00,45,-72.41,18.51,12.25,79.41,0.284,2.43
PatkaiHostel-SF-RM-361,CISCO,,10.88.22.15,2026-05-01 09:55:00,33,-70.28,6.92,4.5,52.37,0.733,4.77
PatKaiHostel-SF-RM-315-AP01,CISCO,,10.88.20.61,2026-05-01 10:00:00,19,-49.65,3.49,1.96,50.14,0.633,5.44
PatKaiHostel-SF-RM-323-AP03,CISCO,,10.88.20.57,2026-05-01 10:05:00,49,-44.86,10.59,5.0,69.08,0.492,4.63
PatKaiHostel-GF-RM-109-AP,CISCO,,10.88.20.66,2026-05-01 10:10:00,69,-42.51,4.35,2.45,49.47,0.579,15.86
PatkaiHostel-GF-RM-158-AP-11,CISCO,,10.88.20.235,2026-05-01 10:15:00,93,-42.62,9.96,4.64,34.33,0.969,9.34
PatKaiHostel-GF-RM-168-AP09,CISCO,,10.88.20.63,2026-05-01 10:20:00,75,-84.53,17.74,7.16,49.13,0.599,4.23
PatKaiHostel-FF-RM-261-AP03,CISCO,,10.88.20.55,2026-05-01 10:25:00,13,-60.33,7.3,4.25,22.7,0.073,1.78
PatkaiHostel-FF-RM-223-AP10,CISCO,,10.88.20.50,2026-05-01 10:30:00,92,-86.55,7.55,4.37,55.2,0.146,12.19
PatkaiHostel-FF-RM-264-AP02,CISCO,,10.88.21.61,2026-05-01 10:35:00,5,-57.03,5.87,3.8,58.01,0.167,0.85
PatkaiHostel-SF-RM-369,CISCO,,10.88.22.17,2026-05-01 10:40:00,112,-63.51,15.03,9.65,31.75,0.534,7.45
PatKaiHostel-FF-RM-268-AP01,CISCO,,10.88.20.54,2026-05-01 10:45:00,12,-36.74,8.36,6.04,48.9,0.868,1.44
PatkaiHostel-GF-RM-132-AP03,CISCO,,10.88.20.67,2026-05-01 10:50:00,92,-68.95,16.18,6.69,79.0,0.123,5.69
MBBT-FF-RM-208-AP02,CISCO,,10.88.20.126,2026-05-01 10:55:00,67,-82.98,33.09,13.76,14.16,0.452,2.02
MBBT-SF-RM-319-AP01,CISCO,,10.88.20.127,2026-05-01 11:00:00,15,-81.42,115.37,50.92,48.85,0.688,0.13
PatkaiHostel-SF-RM-377-AP07,CISCO,,10.88.21.65,2026-05-01 11:05:00,119,-44.31,10.96,8.62,5.37,0.952,10.86
Library-GF-Conf.room-AP11,CISCO,,10.88.20.225,2026-05-01 11:10:00,85,-52.91,78.35,49.52,24.07,0.522,1.08
Library-FF-RH-5-AP09,CISCO,,10.88.20.221,2026-05-01 11:15:00,12,-83.93,30.28,13.8,7.25,0.308,0.4
Library-GF-RH-1-AP05,CISCO,,10.88.20.218,2026-05-01 11:20:00,39,-84.95,41.14,28.52,17.18,0.188,0.95
Library-FF-RH-4-AP08,CISCO,,10.88.20.220,2026-05-01 11:25:00,39,-47.94,83.85,48.42,70.11,0.177,0.47
Library-GF-RH-2-AP06,CISCO,,10.88.20.219,2026-05-01 11:30:00,37,-85.63,27.19,21.52,33.07,0.018,1.36
Library-FF-RH-3-AP07,CISCO,,10.88.20.237,2026-05-01 11:35:00,9,-40.69,27.32,20.43,47.8,0.03,0.33
PatkaiHostel-SF-RM-358,CISCO,,10.88.22.16,2026-05-01 11:40:00,110,-47.63,18.96,14.55,50.05,0.941,5.8
PatkaiHostel-GF-RM-167-AP12,CISCO,,10.88.20.236,2026-05-01 11:45:00,107,-85.12,8.7,5.75,12.99,0.658,12.3
PatkaiHostel-FF-RM267,CISCO,,10.88.22.13,2026-05-01 11:50:00,45,-84.91,19.99,10.54,69.98,0.993,2.25
Admin-FF-RegistarOff-ap05,CISCO,,10.88.20.212,2026-05-01 11:55:00,32,-30.8,102.67,64.35,60.38,0.879,0.31
Admin-FF-VC-AP02,CISCO,,10.88.20.214,2026-05-01 12:00:00,11,-67.54,39.14,30.15,37.86,0.901,0.28
Admin-GF-RM-13-AP01,CISCO,,10.88.20.213,2026-05-01 12:05:00,77,-67.76,37.15,21.33,66.34,0.12,2.07
CouncilHall-GF-RM-77-AP02,CISCO,,10.88.20.216,2026-05-01 12:10:00,76,-41.23,88.11,46.82,52.27,0.61,0.86
Admin-GF-RM-24-AP03,CISCO,,10.88.20.215,2026-05-01 12:15:00,16,-33.17,29.81,16.56,38.65,0.238,0.54
M.Sch.Hostel-FF-RM-104-AP03,CISCO,,10.88.20.21,2026-05-01 12:20:00,38,-30.84,5.3,2.15,49.03,0.168,7.17
M.Sch.Hostel-SF-RM-211-AP03,CISCO,,10.88.20.26,2026-05-01 12:25:00,37,-44.8,14.64,8.57,33.48,0.863,2.53
M.Sch.Hostel-FF-RM-108-AP02,CISCO,,10.88.20.23,2026-05-01 12:30:00,52,-67.42,12.79,9.79,66.03,0.109,4.07
M.Sch.Hostel-GF-RM-04-AP01,CISCO,,10.88.20.20,2026-05-01 12:35:00,27,-84.99,3.62,2.29,45.02,0.608,7.46
M.Sch.Hostel-SF-RM-204-AP01,CISCO,,10.88.20.24,2026-05-01 12:40:00,66,-43.37,16.47,11.51,58.66,0.521,4.01
Councill-Hall-GF-Seminar-AP05,CISCO,,10.88.21.120,2026-05-01 12:45:00,92,-56.5,35.86,14.45,53.56,0.898,2.57
M.Sch.Hostel-GF-RM-11-AP02,CISCO,,10.88.20.19,2026-05-01 12:50:00,41,-64.55,5.77,3.18,19.79,0.479,7.11
M.Sch.Hostel-FF-RM-111-AP01,CISCO,AP02,10.88.20.22,2026-05-01 12:55:00,103,-35.62,7.92,4.71,24.26,0.285,13.01
PatKaiHostel-SF-AP06,CISCO,,10.88.20.25,2026-05-01 13:00:00,48,-83.33,6.41,3.93,48.57,0.09,7.49
CVRaman-FF-RM-1038-AP13,CISCO,,10.88.21.145,2026-05-01 13:05:00,108,-60.44,50.12,25.51,36.02,0.122,2.15
CVRaman-FF-RM-1034-AP18,CISCO,,10.88.21.140,2026-05-01 13:10:00,90,-89.32,20.89,15.54,64.98,0.185,4.31
CVRaman-FF-RM-1118-AP06,CISCO,,10.88.21.155,2026-05-01 13:15:00,95,-61.88,70.67,44.3,24.24,0.963,1.34
CVRaman-FF-RM-1059-AP12,CISCO,,10.88.21.151,2026-05-01 13:20:00,39,-86.62,27.95,20.3,33.01,0.526,1.4
CVRaman-FF-RM-1049-AP15,CISCO,,10.88.21.147,2026-05-01 13:25:00,69,-82.87,57.86,37.07,66.44,0.884,1.19
CVRaman-FF-RM-1105-AP03,CISCO,,10.88.21.158,2026-05-01 13:30:00,103,-82.95,65.97,43.45,18.11,0.361,1.56
CVRaman-FF-RM-1019-AP21,CISCO,,10.88.21.144,2026-05-01 13:35:00,105,-51.05,28.35,15.35,22.77,0.781,3.7
PatkaiHostel-GF-RM-177-AP07,CISCO,,10.88.21.58,2026-05-01 13:40:00,51,-45.24,6.08,4.5,55.36,0.81,8.39
CVRaman-FF-RM-1092-AP01,CISCO,,10.88.21.160,2026-05-01 13:45:00,82,-55.0,51.83,30.1,49.0,0.168,1.58
CVRaman-FF-RM-1027-AP17,CISCO,,10.88.21.139,2026-05-01 13:50:00,7,-32.27,50.79,29.92,45.15,0.178,0.14
CouncilHall-GF-RM-72-AP01,CISCO,,10.88.21.10,2026-05-01 13:55:00,5,-67.51,23.95,15.4,46.0,0.232,0.21
CVRaman-FF-RM-1080-AP08,CISCO,,10.88.21.153,2026-05-01 14:00:00,9,-72.86,77.36,32.75,15.63,0.275,0.12
CVRaman-FF-RM-1084-AP07,CISCO,,10.88.21.154,2026-05-01 14:05:00,94,-37.88,45.9,25.78,37.11,0.718,2.05
CVRaman-FF-RM-1071-AP11,CISCO,,10.88.21.149,2026-05-01 14:10:00,18,-76.58,32.82,17.61,66.4,0.603,0.55
Academic-I-GF-AP01,CISCO,,10.88.20.27,2026-05-01 14:15:00,107,-32.21,18.4,9.38,10.96,0.086,5.82
BordoishillaNew-FF-RM-208-AP01,CISCO,,10.88.20.186,2026-05-01 14:20:00,31,-89.27,37.53,21.04,32.52,0.344,0.83
BordoishillaNew-GF-RM-107-AP02,CISCO,,10.88.20.187,2026-05-01 14:25:00,13,-31.81,93.2,56.63,10.07,0.8,0.14
BordoishillaNew-SF-RM-308-AP01,CISCO,,10.88.20.190,2026-05-01 14:30:00,83,-87.41,66.36,33.74,49.46,0.68,1.25
BordoishillaNew-GF-RM06-AP02,CISCO,,10.88.20.192,2026-05-01 14:35:00,19,-36.53,33.08,17.64,55.21,0.994,0.57
BordoishillaHos-FF-RM-101-AP02,CISCO,,10.88.20.121,2026-05-01 14:40:00,94,-58.34,96.33,76.89,38.48,0.334,0.98
BordoishillaNew-SF-RM-314-AP02,CISCO,,10.88.20.185,2026-05-01 14:45:00,46,-30.42,45.32,35.49,18.15,0.69,1.02
Humanities-GF-RM-136-AP04,CISCO,,10.88.20.198,2026-05-01 14:50:00,81,-85.57,16.02,9.03,36.7,0.822,5.06
TransitHostel-FF-RM-245-AP01,CISCO,,10.88.20.117,2026-05-01 14:55:00,55,-56.77,2.51,1.67,64.66,0.927,21.91
BordochilaHostel-SF-AP01,CISCO,,10.88.20.93,2026-05-01 15:00:00,67,-31.84,4.26,3.36,6.5,0.737,15.73
Humanities-FF-RM-291-AP01,CISCO,,10.88.20.204,2026-05-01 15:05:00,100,-58.61,103.8,76.48,44.07,0.624,0.96
BordoishillaNew-SF-RM-302-AP03,CISCO,,10.88.20.189,2026-05-01 15:10:00,107,-52.24,18.75,13.98,50.64,0.507,5.71
Humanities-FF-RM-247-AP07,CISCO,,10.88.20.200,2026-05-01 15:15:00,117,-48.26,61.15,25.35,27.73,0.263,1.91
TransitHostel-GF-RM-122-AP01,CISCO,,10.88.20.29,2026-05-01 15:20:00,56,-62.73,20.8,11.2,22.93,0.51,2.69
Humanities-GF-RM-128-AP02,CISCO,,10.88.20.197,2026-05-01 15:25:00,100,-52.35,53.89,31.19,50.04,0.516,1.86
Humanities-SF-RM-313-AP01,CISCO,,10.88.20.206,2026-05-01 15:30:00,8,-54.94,38.12,24.01,47.49,0.391,0.21
BordoishillaNew-FF-RM-202-AP03,CISCO,,10.88.20.182,2026-05-01 15:35:00,98,-35.93,85.08,37.99,66.31,0.381,1.15
Humanities-FF-RM-288-AP02,CISCO,,10.88.20.203,2026-05-01 15:40:00,105,-87.27,55.73,38.37,15.6,0.212,1.88
